"DateTime","(mm) Actual ET (TerraClimate) at -98.7092E,29.7839N, 1958-01-01 to 2019-12-31"
"1958-01-01",73.2
"1958-02-01",66.5
"1958-03-01",77.5
"1958-04-01",86.5
"1958-05-01",143.3
"1958-06-01",131.8
"1958-07-01",94.6
"1958-08-01",52.3
"1958-09-01",128.8
"1958-10-01",86.4
"1958-11-01",53.5
"1958-12-01",45
"1959-01-01",39.6
"1959-02-01",58.4
"1959-03-01",63.9
"1959-04-01",106.3
"1959-05-01",91.5
"1959-06-01",150.5
"1959-07-01",59
"1959-08-01",87
"1959-09-01",56.1
"1959-10-01",101
"1959-11-01",57.8
"1959-12-01",62.9
"1960-01-01",41.4
"1960-02-01",50.9
"1960-03-01",65
"1960-04-01",59.6
"1960-05-01",37.1
"1960-06-01",112.2
"1960-07-01",84.8
"1960-08-01",126
"1960-09-01",23.7
"1960-10-01",115.5
"1960-11-01",54.6
"1960-12-01",63.4
"1961-01-01",41.4
"1961-02-01",74.9
"1961-03-01",55.9
"1961-04-01",31.9
"1961-05-01",20.9
"1961-06-01",183.8
"1961-07-01",150.6
"1961-08-01",30.2
"1961-09-01",78.4
"1961-10-01",78
"1961-11-01",63.1
"1961-12-01",36.1
"1962-01-01",24.4
"1962-02-01",28.6
"1962-03-01",34
"1962-04-01",105.8
"1962-05-01",31.8
"1962-06-01",79.4
"1962-07-01",12.5
"1962-08-01",46.5
"1962-09-01",110.8
"1962-10-01",77.8
"1962-11-01",64.3
"1962-12-01",51.4
"1963-01-01",6.5
"1963-02-01",66.5
"1963-03-01",5.6
"1963-04-01",62.1
"1963-05-01",47.8
"1963-06-01",55
"1963-07-01",13.5
"1963-08-01",46.7
"1963-09-01",37.2
"1963-10-01",50.6
"1963-11-01",75.4
"1963-12-01",26.7
"1964-01-01",77.9
"1964-02-01",53.5
"1964-03-01",68.6
"1964-04-01",38.7
"1964-05-01",34.9
"1964-06-01",75.8
"1964-07-01",8.3
"1964-08-01",83.1
"1964-09-01",142
"1964-10-01",47.5
"1964-11-01",72
"1964-12-01",28.1
"1965-01-01",60.2
"1965-02-01",60.9
"1965-03-01",66.7
"1965-04-01",104.1
"1965-05-01",137.6
"1965-06-01",120.4
"1965-07-01",34.4
"1965-08-01",48.5
"1965-09-01",111.4
"1965-10-01",100.5
"1965-11-01",45.2
"1965-12-01",73.5
"1966-01-01",45
"1966-02-01",63.7
"1966-03-01",48.1
"1966-04-01",100.2
"1966-05-01",102
"1966-06-01",45.5
"1966-07-01",29.3
"1966-08-01",140.6
"1966-09-01",120.5
"1966-10-01",22
"1966-11-01",2
"1966-12-01",16.2
"1967-01-01",6.4
"1967-02-01",24.1
"1967-03-01",37.5
"1967-04-01",34.9
"1967-05-01",71.7
"1967-06-01",1.2
"1967-07-01",34.1
"1967-08-01",76.5
