"DateTime","(mm) Grass Ref ET (TerraClimate) at -98.7092E,29.7839N, 1958-01-01 to 2019-12-31"
"1958-01-01",73.2
"1958-02-01",66.5
"1958-03-01",92.3
"1958-04-01",126.3
"1958-05-01",155.7
"1958-06-01",186.1
"1958-07-01",207.6
"1958-08-01",195.4
"1958-09-01",128.8
"1958-10-01",86.4
"1958-11-01",75.1
"1958-12-01",66.3
"1959-01-01",65.6
"1959-02-01",58.4
"1959-03-01",123.5
"1959-04-01",123.4
"1959-05-01",155.9
"1959-06-01",185.6
"1959-07-01",185.2
"1959-08-01",175.8
"1959-09-01",156.8
"1959-10-01",101
"1959-11-01",69
"1959-12-01",68.6
"1960-01-01",60.6
"1960-02-01",70.2
"1960-03-01",98.1
"1960-04-01",146.2
"1960-05-01",164.9
"1960-06-01",201.9
"1960-07-01",191.7
"1960-08-01",175.9
"1960-09-01",153.4
"1960-10-01",115.5
"1960-11-01",80.5
"1960-12-01",63.4
"1961-01-01",63.8
"1961-02-01",74.9
"1961-03-01",122.1
"1961-04-01",162
"1961-05-01",188.3
"1961-06-01",183.8
"1961-07-01",185.8
"1961-08-01",179.6
"1961-09-01",155.9
"1961-10-01",116.6
"1961-11-01",63.1
"1961-12-01",68.5
"1962-01-01",62
"1962-02-01",88.5
"1962-03-01",113.9
"1962-04-01",146.6
"1962-05-01",188.5
"1962-06-01",181.2
"1962-07-01",210.6
"1962-08-01",214.9
"1962-09-01",152.4
"1962-10-01",131.3
"1962-11-01",85.8
"1962-12-01",68.6
"1963-01-01",65.6
"1963-02-01",89.2
"1963-03-01",133.5
"1963-04-01",161.7
"1963-05-01",175.5
"1963-06-01",198.5
"1963-07-01",217.2
"1963-08-01",199.4
"1963-09-01",155.6
"1963-10-01",125.1
"1963-11-01",88.1
"1963-12-01",60.8
"1964-01-01",77.9
"1964-02-01",68.9
"1964-03-01",122.5
"1964-04-01",139.7
"1964-05-01",170
"1964-06-01",193.4
"1964-07-01",210.7
"1964-08-01",206.6
"1964-09-01",149.3
"1964-10-01",115.6
"1964-11-01",81.2
"1964-12-01",65.4
"1965-01-01",80.7
"1965-02-01",60.9
"1965-03-01",98.1
"1965-04-01",141
"1965-05-01",137.6
"1965-06-01",187.7
"1965-07-01",201.6
"1965-08-01",192.8
"1965-09-01",156.6
"1965-10-01",102
"1965-11-01",73.1
"1965-12-01",73.5
"1966-01-01",57.3
"1966-02-01",64.9
"1966-03-01",112.4
"1966-04-01",143
"1966-05-01",143.8
"1966-06-01",182
"1966-07-01",192.9
"1966-08-01",174.8
"1966-09-01",134.3
"1966-10-01",111.7
"1966-11-01",92.3
"1966-12-01",67.7
"1967-01-01",70.8
"1967-02-01",77.3
"1967-03-01",134.5
"1967-04-01",158.4
"1967-05-01",179.1
"1967-06-01",202.1
"1967-07-01",207.6
